Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2016-11-13,2016-12-12,2, 16.28339263519808, 32.56678527039616
2016-11-14,2016-12-13,2, 15.140376002626358, 30.280752005252715
2016-11-15,2016-12-14,2, 18.423441319265216, 36.84688263853043
2016-11-16,2016-12-15,2, 17.10217052402045, 34.2043410480409
2016-11-17,2016-12-16,2, 16.41808370305963, 32.83616740611926
2016-11-18,2016-12-17,2, 17.299881779041428, 34.599763558082856
2016-11-19,2016-12-18,2, 16.052505940739756, 32.10501188147951
2016-11-20,2016-12-19,2, 18.052505940739756, 36.10501188147951
2016-11-21,2016-12-20,2, 16.637189474985757, 33.27437894997151
2016-11-22,2016-12-21,2, 15.971701895986326, 31.943403791972653
2016-11-23,2016-12-22,2, 15.332833820146872, 30.665667640293744
2016-11-24,2016-12-23,2, 14.719520467340997, 29.439040934681994
2016-11-25,2016-12-24,2, 15.598083021725987, 31.196166043451974
2016-11-26,2016-12-25,2, 14.487110062701463, 28.974220125402926
2016-11-27,2016-12-26,2, 13.907625660193403, 27.815251320386807
2016-11-28,2016-12-27,2, 14.800185580309762, 29.600371160619524
2016-11-29,2016-12-28,3, 10.287601202839147, 30.86280360851744
2016-11-30,2016-12-29,3, 9.832768284432472, 29.498304853297416
2016-12-01,2016-12-30,3, 9.439457553055174, 28.318372659165522
2016-12-02,2016-12-31,3, 9.061879250932966, 27.1856377527989
2016-12-03,2017-01-01,3, 8.699404080895649, 26.098212242686948
2016-12-04,2017-01-02,3, 8.351427917659821, 25.05428375297946
2016-12-05,2017-01-03,3, 8.017370800953428, 24.05211240286028
2016-12-06,2017-01-04,3, 7.696675968915291, 23.090027906745874
2016-12-07,2017-01-05,3, 7.388808930158679, 22.166426790476038
2016-12-08,2017-01-06,3, 7.093256572952332, 21.279769718856997
2016-12-09,2017-01-07,3, 6.809526310034239, 20.428578930102717
2016-12-10,2017-01-08,3, 6.537145257632869, 19.611435772898606
2016-12-11,2017-01-09,3, 8.745137911666488, 26.23541373499946
2016-12-12,2017-01-10,1, 22.962449432403307, 22.962449432403307
2016-12-13,2017-01-11,3, 8.597599746657073, 25.792799239971217
2016-12-14,2017-01-12,3, 8.253695756790789, 24.761087270372364
2016-12-15,2017-01-13,3, 8.861090668666181, 26.58327200599854
2016-12-16,2017-01-14,1, 23.75641076791903, 23.75641076791903
2016-12-17,2017-01-15,1, 21.893908163714176, 21.893908163714176
2016-12-18,2017-01-16,1, 21.018151837165608, 21.018151837165608
2016-12-19,2017-01-17,1, 20.177425763678983, 20.177425763678983
2016-12-20,2017-01-18,1, 19.370328733131824, 19.370328733131824
2016-12-21,2017-01-19,1, 18.59551558380655, 18.59551558380655
2016-12-22,2017-01-20,1, 17.851694960454285, 17.851694960454285
2016-12-23,2017-01-21,1, 17.137627162036114, 17.137627162036114
2016-12-24,2017-01-22,1, 16.45212207555467, 16.45212207555467
2016-12-25,2017-01-23,1, 15.794037192532482, 15.794037192532482
2016-12-26,2017-01-24,1, 15.162275704831183, 15.162275704831183
