Day,Firstdate,Nusers,Mean_dr,Sum_dr,Date
0,2015-06-20,0, 0, 0,2015-06-20
1,2015-06-20,0, 0, 0,2015-06-21
2,2015-06-20,0, 0, 0,2015-06-22
3,2015-06-20,0, 0, 0,2015-06-23
4,2015-06-20,0, 0, 0,2015-06-24
5,2015-06-20,0, 0, 0,2015-06-25
6,2015-06-20,0, 0, 0,2015-06-26
7,2015-06-20,0, 0, 0,2015-06-27
8,2015-06-20,0, 0, 0,2015-06-28
9,2015-06-20,0, 0, 0,2015-06-29
10,2015-06-20,0, 0, 0,2015-06-30
11,2015-06-20,0, 0, 0,2015-07-01
12,2015-06-20,0, 0, 0,2015-07-02
13,2015-06-20,0, 0, 0,2015-07-03
14,2015-06-20,0, 0, 0,2015-07-04
15,2015-06-20,0, 0, 0,2015-07-05
16,2015-06-20,0, 0, 0,2015-07-06
17,2015-06-20,0, 0, 0,2015-07-07
18,2015-06-20,0, 0, 0,2015-07-08
19,2015-06-20,0, 0, 0,2015-07-09
20,2015-06-20,0, 0, 0,2015-07-10
21,2015-06-20,0, 0, 0,2015-07-11
22,2015-06-20,0, 0, 0,2015-07-12
23,2015-06-20,0, 0, 0,2015-07-13
24,2015-06-20,0, 0, 0,2015-07-14
25,2015-06-20,0, 0, 0,2015-07-15
26,2015-06-20,0, 0, 0,2015-07-16
27,2015-06-20,0, 0, 0,2015-07-17
28,2015-06-20,0, 0, 0,2015-07-18
29,2015-06-20,0, 0, 0,2015-07-19
30,2015-06-20,0, 0, 0,2015-07-20
31,2015-06-20,0, 0, 0,2015-07-21
32,2015-06-20,0, 0, 0,2015-07-22
33,2015-06-20,0, 0, 0,2015-07-23
34,2015-06-20,0, 0, 0,2015-07-24
35,2015-06-20,0, 0, 0,2015-07-25
36,2015-06-20,0, 0, 0,2015-07-26
37,2015-06-20,0, 0, 0,2015-07-27
38,2015-06-20,0, 0, 0,2015-07-28
39,2015-06-20,0, 0, 0,2015-07-29
40,2015-06-20,0, 0, 0,2015-07-30
41,2015-06-20,0, 0, 0,2015-07-31
42,2015-06-20,0, 0, 0,2015-08-01
43,2015-06-20,0, 0, 0,2015-08-02
44,2015-06-20,0, 0, 0,2015-08-03
45,2015-06-20,0, 0, 0,2015-08-04
46,2015-06-20,0, 0, 0,2015-08-05
47,2015-06-20,0, 0, 0,2015-08-06
48,2015-06-20,0, 0, 0,2015-08-07
49,2015-06-20,0, 0, 0,2015-08-08
50,2015-06-20,0, 0, 0,2015-08-09
51,2015-06-20,0, 0, 0,2015-08-10
52,2015-06-20,0, 0, 0,2015-08-11
53,2015-06-20,0, 0, 0,2015-08-12
54,2015-06-20,0, 0, 0,2015-08-13
55,2015-06-20,0, 0, 0,2015-08-14
56,2015-06-20,0, 0, 0,2015-08-15
57,2015-06-20,0, 0, 0,2015-08-16
58,2015-06-20,0, 0, 0,2015-08-17
59,2015-06-20,0, 0, 0,2015-08-18
60,2015-06-20,0, 0, 0,2015-08-19
61,2015-06-20,0, 0, 0,2015-08-20
62,2015-06-20,0, 0, 0,2015-08-21
63,2015-06-20,0, 0, 0,2015-08-22
64,2015-06-20,0, 0, 0,2015-08-23
65,2015-06-20,0, 0, 0,2015-08-24
66,2015-06-20,0, 0, 0,2015-08-25
67,2015-06-20,0, 0, 0,2015-08-26
68,2015-06-20,0, 0, 0,2015-08-27
69,2015-06-20,0, 0, 0,2015-08-28
70,2015-06-20,0, 0, 0,2015-08-29
71,2015-06-20,0, 0, 0,2015-08-30
72,2015-06-20,0, 0, 0,2015-08-31
73,2015-06-20,0, 0, 0,2015-09-01
74,2015-06-20,0, 0, 0,2015-09-02
75,2015-06-20,0, 0, 0,2015-09-03
76,2015-06-20,0, 0, 0,2015-09-04
77,2015-06-20,0, 0, 0,2015-09-05
78,2015-06-20,0, 0, 0,2015-09-06
79,2015-06-20,0, 0, 0,2015-09-07
80,2015-06-20,0, 0, 0,2015-09-08
81,2015-06-20,0, 0, 0,2015-09-09
82,2015-06-20,0, 0, 0,2015-09-10
83,2015-06-20,0, 0, 0,2015-09-11
84,2015-06-20,0, 0, 0,2015-09-12
85,2015-06-20,0, 0, 0,2015-09-13
86,2015-06-20,0, 0, 0,2015-09-14
87,2015-06-20,0, 0, 0,2015-09-15
88,2015-06-20,0, 0, 0,2015-09-16
89,2015-06-20,0, 0, 0,2015-09-17
90,2015-06-20,0, 0, 0,2015-09-18
91,2015-06-20,0, 0, 0,2015-09-19
92,2015-06-20,0, 0, 0,2015-09-20
93,2015-06-20,0, 0, 0,2015-09-21
94,2015-06-20,0, 0, 0,2015-09-22
95,2015-06-20,0, 0, 0,2015-09-23
96,2015-06-20,0, 0, 0,2015-09-24
97,2015-06-20,0, 0, 0,2015-09-25
98,2015-06-20,0, 0, 0,2015-09-26
99,2015-06-20,0, 0, 0,2015-09-27
100,2015-06-20,0, 0, 0,2015-09-28
101,2015-06-20,0, 0, 0,2015-09-29
102,2015-06-20,0, 0, 0,2015-09-30
103,2015-06-20,0, 0, 0,2015-10-01
104,2015-06-20,0, 0, 0,2015-10-02
105,2015-06-20,0, 0, 0,2015-10-03
106,2015-06-20,0, 0, 0,2015-10-04
107,2015-06-20,0, 0, 0,2015-10-05
108,2015-06-20,0, 0, 0,2015-10-06
109,2015-06-20,0, 0, 0,2015-10-07
110,2015-06-20,0, 0, 0,2015-10-08
111,2015-06-20,0, 0, 0,2015-10-09
112,2015-06-20,0, 0, 0,2015-10-10
113,2015-06-20,0, 0, 0,2015-10-11
114,2015-06-20,0, 0, 0,2015-10-12
115,2015-06-20,0, 0, 0,2015-10-13
116,2015-06-20,0, 0, 0,2015-10-14
117,2015-06-20,0, 0, 0,2015-10-15
118,2015-06-20,0, 0, 0,2015-10-16
119,2015-06-20,0, 0, 0,2015-10-17
120,2015-06-20,0, 0, 0,2015-10-18
121,2015-06-20,0, 0, 0,2015-10-19
122,2015-06-20,0, 0, 0,2015-10-20
123,2015-06-20,0, 0, 0,2015-10-21
124,2015-06-20,0, 0, 0,2015-10-22
125,2015-06-20,0, 0, 0,2015-10-23
126,2015-06-20,0, 0, 0,2015-10-24
127,2015-06-20,0, 0, 0,2015-10-25
128,2015-06-20,0, 0, 0,2015-10-26
129,2015-06-20,0, 0, 0,2015-10-27
130,2015-06-20,0, 0, 0,2015-10-28
131,2015-06-20,0, 0, 0,2015-10-29
132,2015-06-20,0, 0, 0,2015-10-30
133,2015-06-20,0, 0, 0,2015-10-31
134,2015-06-20,0, 0, 0,2015-11-01
135,2015-06-20,0, 0, 0,2015-11-02
136,2015-06-20,0, 0, 0,2015-11-03
137,2015-06-20,0, 0, 0,2015-11-04
138,2015-06-20,0, 0, 0,2015-11-05
139,2015-06-20,0, 0, 0,2015-11-06
140,2015-06-20,0, 0, 0,2015-11-07
141,2015-06-20,0, 0, 0,2015-11-08
142,2015-06-20,0, 0, 0,2015-11-09
143,2015-06-20,0, 0, 0,2015-11-10
144,2015-06-20,0, 0, 0,2015-11-11
145,2015-06-20,0, 0, 0,2015-11-12
146,2015-06-20,0, 0, 0,2015-11-13
147,2015-06-20,0, 0, 0,2015-11-14
148,2015-06-20,0, 0, 0,2015-11-15
149,2015-06-20,0, 0, 0,2015-11-16
150,2015-06-20,0, 0, 0,2015-11-17
151,2015-06-20,0, 0, 0,2015-11-18
152,2015-06-20,0, 0, 0,2015-11-19
153,2015-06-20,0, 0, 0,2015-11-20
154,2015-06-20,0, 0, 0,2015-11-21
155,2015-06-20,0, 0, 0,2015-11-22
156,2015-06-20,0, 0, 0,2015-11-23
157,2015-06-20,0, 0, 0,2015-11-24
158,2015-06-20,0, 0, 0,2015-11-25
159,2015-06-20,0, 0, 0,2015-11-26
160,2015-06-20,0, 0, 0,2015-11-27
161,2015-06-20,0, 0, 0,2015-11-28
162,2015-06-20,0, 0, 0,2015-11-29
163,2015-06-20,0, 0, 0,2015-11-30
164,2015-06-20,0, 0, 0,2015-12-01
165,2015-06-20,0, 0, 0,2015-12-02
166,2015-06-20,0, 0, 0,2015-12-03
167,2015-06-20,0, 0, 0,2015-12-04
168,2015-06-20,0, 0, 0,2015-12-05
169,2015-06-20,0, 0, 0,2015-12-06
170,2015-06-20,0, 0, 0,2015-12-07
171,2015-06-20,0, 0, 0,2015-12-08
172,2015-06-20,0, 0, 0,2015-12-09
173,2015-06-20,0, 0, 0,2015-12-10
174,2015-06-20,0, 0, 0,2015-12-11
175,2015-06-20,0, 0, 0,2015-12-12
176,2015-06-20,0, 0, 0,2015-12-13
177,2015-06-20,0, 0, 0,2015-12-14
178,2015-06-20,0, 0, 0,2015-12-15
179,2015-06-20,0, 0, 0,2015-12-16
180,2015-06-20,0, 0, 0,2015-12-17
181,2015-06-20,0, 0, 0,2015-12-18
182,2015-06-20,0, 0, 0,2015-12-19
183,2015-06-20,0, 0, 0,2015-12-20
184,2015-06-20,0, 0, 0,2015-12-21
185,2015-06-20,0, 0, 0,2015-12-22
186,2015-06-20,0, 0, 0,2015-12-23
187,2015-06-20,0, 0, 0,2015-12-24
188,2015-06-20,0, 0, 0,2015-12-25
189,2015-06-20,0, 0, 0,2015-12-26
190,2015-06-20,0, 0, 0,2015-12-27
191,2015-06-20,0, 0, 0,2015-12-28
192,2015-06-20,0, 0, 0,2015-12-29
193,2015-06-20,0, 0, 0,2015-12-30
194,2015-06-20,0, 0, 0,2015-12-31
195,2015-06-20,0, 0, 0,2016-01-01
196,2015-06-20,0, 0, 0,2016-01-02
197,2015-06-20,0, 0, 0,2016-01-03
198,2015-06-20,0, 0, 0,2016-01-04
199,2015-06-20,0, 0, 0,2016-01-05
200,2015-06-20,0, 0, 0,2016-01-06
201,2015-06-20,0, 0, 0,2016-01-07
202,2015-06-20,0, 0, 0,2016-01-08
203,2015-06-20,0, 0, 0,2016-01-09
204,2015-06-20,0, 0, 0,2016-01-10
205,2015-06-20,0, 0, 0,2016-01-11
206,2015-06-20,0, 0, 0,2016-01-12
207,2015-06-20,0, 0, 0,2016-01-13
208,2015-06-20,0, 0, 0,2016-01-14
209,2015-06-20,0, 0, 0,2016-01-15
210,2015-06-20,0, 0, 0,2016-01-16
211,2015-06-20,0, 0, 0,2016-01-17
212,2015-06-20,0, 0, 0,2016-01-18
213,2015-06-20,0, 0, 0,2016-01-19
214,2015-06-20,0, 0, 0,2016-01-20
215,2015-06-20,0, 0, 0,2016-01-21
216,2015-06-20,0, 0, 0,2016-01-22
217,2015-06-20,0, 0, 0,2016-01-23
218,2015-06-20,0, 0, 0,2016-01-24
219,2015-06-20,0, 0, 0,2016-01-25
220,2015-06-20,0, 0, 0,2016-01-26
221,2015-06-20,0, 0, 0,2016-01-27
222,2015-06-20,0, 0, 0,2016-01-28
223,2015-06-20,0, 0, 0,2016-01-29
224,2015-06-20,0, 0, 0,2016-01-30
225,2015-06-20,0, 0, 0,2016-01-31
226,2015-06-20,0, 0, 0,2016-02-01
227,2015-06-20,0, 0, 0,2016-02-02
228,2015-06-20,0, 0, 0,2016-02-03
229,2015-06-20,0, 0, 0,2016-02-04
230,2015-06-20,0, 0, 0,2016-02-05
231,2015-06-20,0, 0, 0,2016-02-06
232,2015-06-20,0, 0, 0,2016-02-07
233,2015-06-20,0, 0, 0,2016-02-08
234,2015-06-20,0, 0, 0,2016-02-09
235,2015-06-20,0, 0, 0,2016-02-10
236,2015-06-20,0, 0, 0,2016-02-11
237,2015-06-20,0, 0, 0,2016-02-12
238,2015-06-20,0, 0, 0,2016-02-13
239,2015-06-20,0, 0, 0,2016-02-14
240,2015-06-20,0, 0, 0,2016-02-15
241,2015-06-20,0, 0, 0,2016-02-16
242,2015-06-20,0, 0, 0,2016-02-17
243,2015-06-20,0, 0, 0,2016-02-18
244,2015-06-20,0, 0, 0,2016-02-19
245,2015-06-20,0, 0, 0,2016-02-20
246,2015-06-20,0, 0, 0,2016-02-21
247,2015-06-20,0, 0, 0,2016-02-22
248,2015-06-20,0, 0, 0,2016-02-23
249,2015-06-20,0, 0, 0,2016-02-24
250,2015-06-20,0, 0, 0,2016-02-25
251,2015-06-20,0, 0, 0,2016-02-26
252,2015-06-20,0, 0, 0,2016-02-27
253,2015-06-20,0, 0, 0,2016-02-28
254,2015-06-20,0, 0, 0,2016-02-29
255,2015-06-20,0, 0, 0,2016-03-01
256,2015-06-20,0, 0, 0,2016-03-02
257,2015-06-20,0, 0, 0,2016-03-03
258,2015-06-20,0, 0, 0,2016-03-04
259,2015-06-20,0, 0, 0,2016-03-05
260,2015-06-20,0, 0, 0,2016-03-06
261,2015-06-20,0, 0, 0,2016-03-07
262,2015-06-20,0, 0, 0,2016-03-08
263,2015-06-20,0, 0, 0,2016-03-09
264,2015-06-20,0, 0, 0,2016-03-10
265,2015-06-20,0, 0, 0,2016-03-11
266,2015-06-20,0, 0, 0,2016-03-12
267,2015-06-20,0, 0, 0,2016-03-13
268,2015-06-20,0, 0, 0,2016-03-14
269,2015-06-20,0, 0, 0,2016-03-15
270,2015-06-20,0, 0, 0,2016-03-16
271,2015-06-20,0, 0, 0,2016-03-17
272,2015-06-20,0, 0, 0,2016-03-18
273,2015-06-20,0, 0, 0,2016-03-19
274,2015-06-20,0, 0, 0,2016-03-20
275,2015-06-20,0, 0, 0,2016-03-21
276,2015-06-20,0, 0, 0,2016-03-22
