Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2016-11-13,2016-12-12,26, 3.013849309491683, 78.36008204678376
2016-11-14,2016-12-13,26, 2.858187582725221, 74.31287715085574
2016-11-15,2016-12-14,27, 3.0631446627038312, 82.70490589300344
2016-11-16,2016-12-15,27, 2.9177017623047647, 78.77794758222865
2016-11-17,2016-12-16,27, 2.800993691812574, 75.6268296789395
2016-11-18,2016-12-17,30, 2.6929497885035567, 80.7884936551067
2016-11-19,2016-12-18,30, 2.6376867343453103, 79.13060203035931
2016-11-20,2016-12-19,33, 2.686836355634195, 88.66559973592844
2016-11-21,2016-12-20,34, 2.6034237051912226, 88.51640597650157
2016-11-22,2016-12-21,34, 2.4934936125603713, 84.77878282705262
2016-11-23,2016-12-22,30, 2.5796979017510675, 77.39093705253202
2016-11-24,2016-12-23,29, 2.5274526191403828, 73.2961259550711
2016-11-25,2016-12-24,30, 2.489920475006719, 74.69761425020157
2016-11-26,2016-12-25,30, 2.384776989339784, 71.54330968019352
2016-11-27,2016-12-26,30, 2.2893859097661933, 68.68157729298579
2016-11-28,2016-12-27,28, 2.3589496634900065, 66.05059057772019
2016-11-29,2016-12-28,26, 2.845975713780912, 73.99536855830371
2016-11-30,2016-12-29,26, 2.7921799589362406, 72.59667893234226
2016-12-01,2016-12-30,26, 2.670916202435872, 69.44382126333268
2016-12-02,2016-12-31,26, 2.5640795543384374, 66.66606841279938
2016-12-03,2017-01-01,26, 2.4615163721649003, 63.99942567628741
2016-12-04,2017-01-02,23, 2.5409533827459567, 58.44192780315701
2016-12-05,2017-01-03,23, 2.439315247436119, 56.104250691030735
2016-12-06,2017-01-04,23, 2.341742637538674, 53.860080663389496
2016-12-07,2017-01-05,20, 2.4130804114907414, 48.261608229814826
2016-12-08,2017-01-06,19, 2.375329703778032, 45.13126437178261
2016-12-09,2017-01-07,18, 2.2999059809621043, 41.39830765731788
2016-12-10,2017-01-08,18, 2.20790974172362, 39.74237535102516
2016-12-11,2017-01-09,24, 2.3049383733527598, 55.31852096046624
2016-12-12,2017-01-10,31, 2.536258240546384, 78.6240054569379
2016-12-13,2017-01-11,25, 2.6154098832863366, 65.38524708215841
2016-12-14,2017-01-12,25, 2.510793487954883, 62.769837198872075
2016-12-15,2017-01-13,24, 2.6765166058248266, 64.23639853979584
2016-12-16,2017-01-14,33, 2.488809016727056, 82.13069755199285
2016-12-17,2017-01-15,34, 2.442082646523214, 83.03080998178928
2016-12-18,2017-01-16,32, 2.395156637888033, 76.64501241241706
2016-12-19,2017-01-17,31, 2.3416462438017627, 72.59103355785464
2016-12-20,2017-01-18,29, 2.3187067801331382, 67.24249662386102
2016-12-21,2017-01-19,28, 2.2334312606435613, 62.53607529801972
2016-12-22,2017-01-20,28, 2.1440940102178185, 60.03463228609892
2016-12-23,2017-01-21,28, 2.0583302498091056, 57.633246994654954
2016-12-24,2017-01-22,28, 1.9759970398167415, 55.32791711486876
2016-12-25,2017-01-23,27, 1.9219389864605287, 51.892352634434275
2016-12-26,2017-01-24,27, 1.8450614270021075, 49.8166585290569
2016-12-27,2017-01-25,24, 1.8677696392423229, 44.82647134181575
2016-12-28,2017-01-26,21, 2.0307253994340058, 42.64523338811412
2016-12-29,2017-01-27,20, 1.8693788693324411, 37.38757738664882
2016-12-30,2017-01-28,19, 1.7927831666943141, 34.06288016719197
2016-12-31,2017-01-29,18, 1.7611772969524813, 31.70119134514466
2017-01-01,2017-01-30,12, 2.036508499931759, 24.438101999181107
2017-01-02,2017-01-31,11, 2.0439329349603614, 22.483262284563974
2017-01-03,2017-02-01,11, 1.9621756175619467, 21.583931793181414
2017-01-04,2017-02-02,11, 1.883688592859469, 20.72057452145416
2017-01-05,2017-02-03,10, 1.890434802549926, 18.90434802549926
2017-01-06,2017-02-04,10, 1.8148174104479284, 18.148174104479285
2017-01-07,2017-02-05,10, 1.7422247140300118, 17.42224714030012
2017-01-08,2017-02-06,10, 1.672535725468811, 16.72535725468811
2017-01-09,2017-02-07,10, 1.6056342964500583, 16.056342964500583
2017-01-10,2017-02-08,9, 1.5768490500089807, 14.191641450080827
2017-01-11,2017-02-09,7, 2.0531502113448754, 14.372051479414129
2017-01-12,2017-02-10,7, 1.9353339374978729, 13.54733756248511
2017-01-13,2017-02-11,7, 1.8579205799979577, 13.005444059985704
2017-01-14,2017-02-12,5, 2.031964951848597, 10.159824759242985
2017-01-15,2017-02-13,4, 3.1184043423807575, 12.47361736952303
2017-01-16,2017-02-14,3, 3.5371354132303092, 10.611406239690927
2017-01-17,2017-02-15,3, 3.395649996701096, 10.186949990103288
2017-01-18,2017-02-16,3, 3.2598239968330525, 9.779471990499157
2017-01-19,2017-02-17,3, 3.1294310369597302, 9.388293110879191
2017-01-20,2017-02-18,3, 3.004253795481341, 9.012761386444023
2017-01-21,2017-02-19,3, 2.8840836436620876, 8.652250930986263
2017-01-22,2017-02-20,3, 2.7687202979156034, 8.30616089374681
2017-01-23,2017-02-21,3, 2.65797148599898, 7.97391445799694
2017-01-24,2017-02-22,3, 2.55165262655902, 7.6549578796770605
2017-01-25,2017-02-23,3, 2.4495865214966592, 7.348759564489978
2017-01-26,2017-02-24,3, 2.351603060636793, 7.054809181910379
2017-01-27,2017-02-25,1, 1.0854545696183804, 1.0854545696183804
2017-01-28,2017-02-26,1, 1.042036386833645, 1.042036386833645
2017-01-29,2017-02-27,1, 1.0003549313602993, 1.0003549313602993
2017-01-30,2017-02-28,0, 0, 0
2017-01-31,2017-03-01,0, 0, 0
2017-02-01,2017-03-02,0, 0, 0
2017-02-02,2017-03-03,0, 0, 0
2017-02-03,2017-03-04,0, 0, 0
2017-02-04,2017-03-05,0, 0, 0
2017-02-05,2017-03-06,0, 0, 0
2017-02-06,2017-03-07,0, 0, 0
2017-02-07,2017-03-08,0, 0, 0
2017-02-08,2017-03-09,0, 0, 0
2017-02-09,2017-03-10,0, 0, 0
2017-02-17,2017-03-18,1, 2.177781455154155, 2.177781455154155
2017-02-18,2017-03-19,1, 2.0070433890700694, 2.0070433890700694
2017-02-19,2017-03-20,1, 1.9267616535072665, 1.9267616535072665
2017-02-20,2017-03-21,1, 1.8496911873669757, 1.8496911873669757
2017-02-21,2017-03-22,1, 1.7757035398722967, 1.7757035398722967
2017-02-22,2017-03-23,1, 1.7046753982774048, 1.7046753982774048
2017-02-23,2017-03-24,1, 1.6364883823463086, 1.6364883823463086
2017-02-24,2017-03-25,1, 1.571028847052456, 1.571028847052456
