day,clustering,Nnodes,L/N,Firstday,First_Time
0,0.0,0.0,0.0,2015-06-20,2015-06-20
1,0.0,0.0,0.0,2015-06-20,2015-06-21
2,0.0,0.0,0.0,2015-06-20,2015-06-22
3,0.0,0.0,0.0,2015-06-20,2015-06-23
4,0.0,0.0,0.0,2015-06-20,2015-06-24
5,0.0,0.0,0.0,2015-06-20,2015-06-25
6,0.0,0.0,0.0,2015-06-20,2015-06-26
7,0.0,0.0,0.0,2015-06-20,2015-06-27
8,0.0,0.0,0.0,2015-06-20,2015-06-28
9,0.0,0.0,0.0,2015-06-20,2015-06-29
10,0.0,0.0,0.0,2015-06-20,2015-06-30
11,0.0,0.0,0.0,2015-06-20,2015-07-01
12,0.0,0.0,0.0,2015-06-20,2015-07-02
13,0.0,0.0,0.0,2015-06-20,2015-07-03
14,0.0,0.0,0.0,2015-06-20,2015-07-04
15,0.0,0.0,0.0,2015-06-20,2015-07-05
16,0.0,0.0,0.0,2015-06-20,2015-07-06
17,0.0,0.0,0.0,2015-06-20,2015-07-07
18,0.0,0.0,0.0,2015-06-20,2015-07-08
19,0.0,0.0,0.0,2015-06-20,2015-07-09
20,0.0,0.0,0.0,2015-06-20,2015-07-10
21,0.0,0.0,0.0,2015-06-20,2015-07-11
22,0.0,0.0,0.0,2015-06-20,2015-07-12
23,0.0,0.0,0.0,2015-06-20,2015-07-13
24,0.0,0.0,0.0,2015-06-20,2015-07-14
25,0.0,0.0,0.0,2015-06-20,2015-07-15
26,0.0,0.0,0.0,2015-06-20,2015-07-16
27,0.0,0.0,0.0,2015-06-20,2015-07-17
28,0.0,0.0,0.0,2015-06-20,2015-07-18
29,0.0,0.0,0.0,2015-06-20,2015-07-19
30,0.0,0.0,0.0,2015-06-20,2015-07-20
31,0.0,0.0,0.0,2015-06-20,2015-07-21
32,0.0,0.0,0.0,2015-06-20,2015-07-22
33,0.0,2.0,0.5,2015-06-20,2015-07-23
34,0.0,2.0,0.5,2015-06-20,2015-07-24
35,0.0,2.0,0.5,2015-06-20,2015-07-25
36,0.0,2.0,0.5,2015-06-20,2015-07-26
37,0.0,2.0,0.5,2015-06-20,2015-07-27
38,0.0,2.0,0.5,2015-06-20,2015-07-28
39,0.0,2.0,0.5,2015-06-20,2015-07-29
40,0.0,2.0,0.5,2015-06-20,2015-07-30
41,0.0,2.0,0.5,2015-06-20,2015-07-31
42,0.0,2.0,0.5,2015-06-20,2015-08-01
43,0.0,2.0,0.5,2015-06-20,2015-08-02
44,0.0,2.0,0.5,2015-06-20,2015-08-03
45,0.0,2.0,0.5,2015-06-20,2015-08-04
46,0.0,2.0,0.5,2015-06-20,2015-08-05
47,0.0,2.0,0.5,2015-06-20,2015-08-06
48,0.0,2.0,0.5,2015-06-20,2015-08-07
49,0.0,2.0,0.5,2015-06-20,2015-08-08
50,0.0,2.0,0.5,2015-06-20,2015-08-09
51,0.0,2.0,0.5,2015-06-20,2015-08-10
52,0.0,2.0,0.5,2015-06-20,2015-08-11
53,0.0,2.0,0.5,2015-06-20,2015-08-12
54,0.0,2.0,0.5,2015-06-20,2015-08-13
55,0.0,2.0,0.5,2015-06-20,2015-08-14
56,0.0,2.0,0.5,2015-06-20,2015-08-15
57,0.0,2.0,0.5,2015-06-20,2015-08-16
58,0.0,2.0,0.5,2015-06-20,2015-08-17
59,0.0,2.0,0.5,2015-06-20,2015-08-18
60,0.0,2.0,0.5,2015-06-20,2015-08-19
61,0.0,2.0,0.5,2015-06-20,2015-08-20
62,0.0,2.0,0.5,2015-06-20,2015-08-21
63,0.0,0.0,0.0,2015-06-20,2015-08-22
64,0.0,0.0,0.0,2015-06-20,2015-08-23
65,0.0,0.0,0.0,2015-06-20,2015-08-24
66,0.0,0.0,0.0,2015-06-20,2015-08-25
67,0.0,0.0,0.0,2015-06-20,2015-08-26
68,0.0,0.0,0.0,2015-06-20,2015-08-27
69,0.0,0.0,0.0,2015-06-20,2015-08-28
70,0.0,0.0,0.0,2015-06-20,2015-08-29
71,0.0,0.0,0.0,2015-06-20,2015-08-30
72,0.0,0.0,0.0,2015-06-20,2015-08-31
73,0.0,0.0,0.0,2015-06-20,2015-09-01
74,0.0,0.0,0.0,2015-06-20,2015-09-02
75,0.0,0.0,0.0,2015-06-20,2015-09-03
76,0.0,0.0,0.0,2015-06-20,2015-09-04
77,0.0,0.0,0.0,2015-06-20,2015-09-05
78,0.0,0.0,0.0,2015-06-20,2015-09-06
79,0.0,0.0,0.0,2015-06-20,2015-09-07
80,0.0,0.0,0.0,2015-06-20,2015-09-08
81,0.0,0.0,0.0,2015-06-20,2015-09-09
82,0.0,0.0,0.0,2015-06-20,2015-09-10
83,0.0,0.0,0.0,2015-06-20,2015-09-11
84,0.0,0.0,0.0,2015-06-20,2015-09-12
85,0.0,0.0,0.0,2015-06-20,2015-09-13
86,0.0,0.0,0.0,2015-06-20,2015-09-14
87,0.0,0.0,0.0,2015-06-20,2015-09-15
88,0.0,0.0,0.0,2015-06-20,2015-09-16
89,0.0,0.0,0.0,2015-06-20,2015-09-17
90,0.0,0.0,0.0,2015-06-20,2015-09-18
91,0.0,0.0,0.0,2015-06-20,2015-09-19
92,0.0,0.0,0.0,2015-06-20,2015-09-20
93,0.0,0.0,0.0,2015-06-20,2015-09-21
94,0.0,0.0,0.0,2015-06-20,2015-09-22
95,0.0,0.0,0.0,2015-06-20,2015-09-23
96,0.0,0.0,0.0,2015-06-20,2015-09-24
97,0.0,0.0,0.0,2015-06-20,2015-09-25
98,0.0,0.0,0.0,2015-06-20,2015-09-26
99,0.0,0.0,0.0,2015-06-20,2015-09-27
100,0.0,0.0,0.0,2015-06-20,2015-09-28
101,0.0,0.0,0.0,2015-06-20,2015-09-29
102,0.0,0.0,0.0,2015-06-20,2015-09-30
103,0.0,0.0,0.0,2015-06-20,2015-10-01
104,0.0,0.0,0.0,2015-06-20,2015-10-02
105,0.0,0.0,0.0,2015-06-20,2015-10-03
106,0.0,0.0,0.0,2015-06-20,2015-10-04
107,0.0,0.0,0.0,2015-06-20,2015-10-05
108,0.0,0.0,0.0,2015-06-20,2015-10-06
109,0.0,0.0,0.0,2015-06-20,2015-10-07
110,0.0,0.0,0.0,2015-06-20,2015-10-08
111,0.0,0.0,0.0,2015-06-20,2015-10-09
112,0.0,0.0,0.0,2015-06-20,2015-10-10
113,0.0,0.0,0.0,2015-06-20,2015-10-11
114,0.0,0.0,0.0,2015-06-20,2015-10-12
115,0.0,0.0,0.0,2015-06-20,2015-10-13
116,0.0,0.0,0.0,2015-06-20,2015-10-14
117,0.0,0.0,0.0,2015-06-20,2015-10-15
118,0.0,0.0,0.0,2015-06-20,2015-10-16
119,0.0,0.0,0.0,2015-06-20,2015-10-17
120,0.0,0.0,0.0,2015-06-20,2015-10-18
121,0.0,0.0,0.0,2015-06-20,2015-10-19
122,0.0,0.0,0.0,2015-06-20,2015-10-20
123,0.0,0.0,0.0,2015-06-20,2015-10-21
124,0.0,0.0,0.0,2015-06-20,2015-10-22
125,0.0,0.0,0.0,2015-06-20,2015-10-23
126,0.0,0.0,0.0,2015-06-20,2015-10-24
127,0.0,0.0,0.0,2015-06-20,2015-10-25
128,0.0,0.0,0.0,2015-06-20,2015-10-26
129,0.0,0.0,0.0,2015-06-20,2015-10-27
130,0.0,0.0,0.0,2015-06-20,2015-10-28
131,0.0,0.0,0.0,2015-06-20,2015-10-29
132,0.0,0.0,0.0,2015-06-20,2015-10-30
133,0.0,0.0,0.0,2015-06-20,2015-10-31
134,0.0,0.0,0.0,2015-06-20,2015-11-01
135,0.0,0.0,0.0,2015-06-20,2015-11-02
136,0.0,0.0,0.0,2015-06-20,2015-11-03
137,0.0,0.0,0.0,2015-06-20,2015-11-04
138,0.0,0.0,0.0,2015-06-20,2015-11-05
139,0.0,0.0,0.0,2015-06-20,2015-11-06
140,0.0,0.0,0.0,2015-06-20,2015-11-07
141,0.0,0.0,0.0,2015-06-20,2015-11-08
142,0.0,0.0,0.0,2015-06-20,2015-11-09
143,0.0,0.0,0.0,2015-06-20,2015-11-10
144,0.0,0.0,0.0,2015-06-20,2015-11-11
145,0.0,0.0,0.0,2015-06-20,2015-11-12
146,0.0,0.0,0.0,2015-06-20,2015-11-13
147,0.0,0.0,0.0,2015-06-20,2015-11-14
148,0.0,0.0,0.0,2015-06-20,2015-11-15
149,0.0,0.0,0.0,2015-06-20,2015-11-16
150,0.0,0.0,0.0,2015-06-20,2015-11-17
151,0.0,0.0,0.0,2015-06-20,2015-11-18
152,0.0,0.0,0.0,2015-06-20,2015-11-19
153,0.0,0.0,0.0,2015-06-20,2015-11-20
154,0.0,0.0,0.0,2015-06-20,2015-11-21
155,0.0,0.0,0.0,2015-06-20,2015-11-22
156,0.0,0.0,0.0,2015-06-20,2015-11-23
157,0.0,0.0,0.0,2015-06-20,2015-11-24
158,0.0,0.0,0.0,2015-06-20,2015-11-25
159,0.0,0.0,0.0,2015-06-20,2015-11-26
160,0.0,0.0,0.0,2015-06-20,2015-11-27
