Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2018-01-09,2018-02-07,7, 438.3032120826336, 3068.122484578435
2018-01-10,2018-02-08,8, 408.3073594070359, 3266.4588752562872
2018-01-11,2018-02-09,8, 394.0787520002492, 3152.6300160019937
2018-01-12,2018-02-10,9, 382.2959316658017, 3440.663384992215
2018-01-13,2018-02-11,10, 361.6987534397342, 3616.987534397342
2018-01-14,2018-02-12,11, 358.1275915222636, 3939.4035067448995
2018-01-15,2018-02-13,13, 309.3909215929718, 4022.081980708633
2018-01-16,2018-02-14,14, 297.94947979757444, 4171.292717166042
2018-01-17,2018-02-15,15, 295.9598250060455, 4439.3973750906825
2018-01-18,2018-02-16,16, 276.3049336774113, 4420.878938838581
2018-01-19,2018-02-17,13, 330.3815104396231, 4294.9596357151
2018-01-20,2018-02-18,13, 330.47125285808056, 4296.126287155047
2018-01-21,2018-02-19,15, 318.53153179672245, 4777.972976950837
2018-01-22,2018-02-20,15, 316.88952119561424, 4753.342817934214
2018-01-23,2018-02-21,15, 325.191145538692, 4877.8671830803805
2018-01-24,2018-02-22,15, 327.65765622036434, 4914.864843305465
2018-01-25,2018-02-23,15, 326.1027955232591, 4891.541932848886
2018-01-26,2018-02-24,15, 336.4794574881785, 5047.1918623226775
2018-01-27,2018-02-25,14, 365.9803092396044, 5123.724329354462
2018-01-28,2018-02-26,14, 369.9405629871767, 5179.167881820474
2018-01-29,2018-02-27,14, 366.61355448121725, 5132.589762737041
2018-01-30,2018-02-28,14, 358.1364622291694, 5013.910471208372
2018-01-31,2018-03-01,14, 348.78024027535395, 4882.923363854955
2018-02-01,2018-03-02,14, 351.6622281056703, 4923.271193479384
2018-02-02,2018-03-03,14, 341.895253236447, 4786.533545310258
2018-02-03,2018-03-04,13, 365.22583921879357, 4747.9359098443165
2018-02-04,2018-03-05,13, 369.7713918747989, 4807.028094372386
2018-02-05,2018-03-06,13, 393.37895214191485, 5113.926377844893
2018-02-06,2018-03-07,13, 418.45089175808187, 5439.861592855064
2018-02-07,2018-03-08,26, 233.90488122563607, 6081.526911866538
2018-02-08,2018-03-09,14, 413.97814313552396, 5795.694003897335
2018-02-09,2018-03-10,15, 396.73062129097156, 5950.959319364573
2018-02-10,2018-03-11,19, 344.4538240764015, 6544.622657451628
2018-02-11,2018-03-12,19, 344.50840005980336, 6545.659601136264
2018-02-12,2018-03-13,19, 348.7576822969443, 6626.395963641942
2018-02-13,2018-03-14,21, 324.99353633446907, 6824.864263023851
2018-02-14,2018-03-15,17, 383.4343318754977, 6518.383641883461
2018-02-15,2018-03-16,18, 364.85951849293343, 6567.471332872802
2018-02-16,2018-03-17,18, 352.7660844497023, 6349.789520094641
2018-02-17,2018-03-18,20, 322.7283713295691, 6454.567426591382
2018-02-18,2018-03-19,20, 320.0750049989891, 6401.500099979781
2018-02-19,2018-03-20,21, 309.21031093133433, 6493.4165295580215
2018-02-20,2018-03-21,22, 299.0406774078472, 6578.894902972639
2018-02-21,2018-03-22,22, 291.62120829520165, 6415.666582494437
2018-02-22,2018-03-23,22, 287.35843468174767, 6321.885562998448
2018-02-23,2018-03-24,27, 235.7671321723379, 6365.7125686531235
2018-02-24,2018-03-25,28, 222.69642149954396, 6235.499801987231
2018-02-25,2018-03-26,30, 205.6621538243868, 6169.864614731604
2018-02-26,2018-03-27,29, 212.66377906840196, 6167.249592983657
2018-02-27,2018-03-28,21, 282.9493371799111, 5941.936080778133
2018-02-28,2018-03-29,21, 290.4654957418702, 6099.775410579274
2018-03-01,2018-03-30,18, 328.3534386375907, 5910.361895476633
2018-03-02,2018-03-31,19, 308.6086494307463, 5863.5643391841795
2018-03-03,2018-04-01,19, 309.0526445743529, 5872.000246912705
2018-03-04,2018-04-02,19, 300.2938734933676, 5705.583596373984
2018-03-05,2018-04-03,20, 300.7492505363403, 6014.985010726806
2018-03-06,2018-04-04,22, 281.9478714987149, 6202.853172971728
2018-03-07,2018-04-05,22, 276.9680476759, 6093.297048869799
2018-03-08,2018-04-06,22, 281.10660083376786, 6184.345218342893
2018-03-09,2018-04-07,21, 292.8599911198304, 6150.059813516438
2018-03-10,2018-04-08,22, 286.92057550139685, 6312.25266103073
2018-03-11,2018-04-09,22, 282.41395235806027, 6213.1069518773265
2018-03-12,2018-04-10,17, 350.53855899065627, 5959.155502841157
2018-03-13,2018-04-11,17, 348.2292546825161, 5919.897329602774
2018-03-14,2018-04-12,19, 320.8074813860429, 6095.342146334816
2018-03-15,2018-04-13,17, 344.9386301054032, 5863.956711791854
2018-03-16,2018-04-14,15, 382.8610384827547, 5742.9155772413205
2018-03-17,2018-04-15,14, 392.8590755559788, 5500.027057783703
2018-03-18,2018-04-16,16, 366.67689964368446, 5866.830394298951
2018-03-19,2018-04-17,17, 354.3523438831151, 6023.989846012957
2018-03-20,2018-04-18,17, 363.8172200802869, 6184.892741364877
2018-03-21,2018-04-19,16, 353.1116966786676, 5649.787146858682
2018-03-22,2018-04-20,16, 338.9872288115208, 5423.795660984333
2018-03-23,2018-04-21,16, 353.3599817327126, 5653.759707723401
2018-03-24,2018-04-22,15, 346.89802710376546, 5203.470406556482
2018-03-25,2018-04-23,14, 375.5219353087164, 5257.30709432203
2018-03-26,2018-04-24,15, 361.25920458341204, 5418.888068751181
2018-03-27,2018-04-25,15, 360.6476325452013, 5409.71448817802
2018-03-28,2018-04-26,15, 377.6092794755838, 5664.139192133756
2018-03-29,2018-04-27,14, 409.8331954755832, 5737.664736658165
2018-03-30,2018-04-28,15, 389.9261277297619, 5848.8919159464285
2018-03-31,2018-04-29,15, 387.8043584850395, 5817.065377275592
2018-04-01,2018-04-30,15, 397.4982573103773, 5962.47385965566
2018-04-02,2018-05-01,15, 392.37828915936853, 5885.674337390528
2018-04-03,2018-05-02,15, 391.8571419516853, 5877.8571292752795
2018-04-04,2018-05-03,15, 379.0442318173186, 5685.663477259779
2018-04-05,2018-05-04,15, 385.4623200660229, 5781.934800990344
2018-04-06,2018-05-05,15, 381.854060326704, 5727.81090490056
2018-04-07,2018-05-06,16, 359.3239281884822, 5749.182851015716
2018-04-08,2018-05-07,17, 333.101295608823, 5662.722025349992
2018-04-09,2018-05-08,17, 334.9632765131789, 5694.375700724042
2018-04-10,2018-05-09,17, 342.3590394525362, 5820.103670693115
2018-04-11,2018-05-10,17, 340.71608556789823, 5792.17345465427
2018-04-12,2018-05-11,17, 353.74817076798587, 6013.71890305576
2018-04-13,2018-05-12,18, 334.1343443832573, 6014.418198898632
2018-04-14,2018-05-13,18, 328.97918999565286, 5921.625419921752
2018-04-15,2018-05-14,18, 332.51900314239305, 5985.342056563075
2018-04-16,2018-05-15,17, 358.36430298899495, 6092.193150812914
2018-04-17,2018-05-16,19, 358.1139388816846, 6804.164838752007
2018-04-18,2018-05-17,18, 385.4829427457989, 6938.69296942438
2018-04-19,2018-05-18,16, 425.0134115113715, 6800.214584181944
2018-04-20,2018-05-19,19, 360.656005599454, 6852.464106389626
2018-04-21,2018-05-20,17, 407.31968178574544, 6924.434590357672
2018-04-22,2018-05-21,17, 413.8239543601292, 7035.007224122197
2018-04-23,2018-05-22,18, 401.5736534550189, 7228.32576219034
2018-04-24,2018-05-23,17, 426.87865447363623, 7256.9371260518155
2018-04-25,2018-05-24,15, 447.19023560939036, 6707.853534140855
2018-04-26,2018-05-25,15, 442.61567052582643, 6639.235057887397
2018-04-27,2018-05-26,15, 433.7162562731542, 6505.743844097313
2018-04-28,2018-05-27,16, 398.1777766574046, 6370.8444265184735
2018-04-29,2018-05-28,14, 437.45607467898105, 6124.3850455057345
2018-04-30,2018-05-29,14, 423.3647756234415, 5927.106858728182
2018-05-01,2018-05-30,15, 386.5195871647981, 5797.793807471971
2018-05-02,2018-05-31,15, 373.2682359885586, 5599.023539828379
2018-05-03,2018-06-01,16, 348.26397285948406, 5572.223565751745
2018-05-04,2018-06-02,13, 399.15360394279736, 5188.9968512563655
2018-05-05,2018-06-03,13, 395.80301699249355, 5145.439220902416
2018-05-06,2018-06-04,19, 300.16054750472495, 5703.0504025897735
2018-05-07,2018-06-05,12, 433.63236653726955, 5203.588398447235
2018-05-08,2018-06-06,14, 368.7273642946646, 5162.183100125304
2018-05-09,2018-06-07,15, 338.1836263164949, 5072.754394747423
2018-05-10,2018-06-08,15, 326.0452539450602, 4890.678809175904
2018-05-11,2018-06-09,15, 323.05097109772026, 4845.764566465804
2018-05-12,2018-06-10,15, 307.9263739147403, 4618.8956087211045
2018-05-13,2018-06-11,15, 319.13815589504077, 4787.072338425612
2018-05-14,2018-06-12,14, 330.44936559775135, 4626.291118368519
2018-05-15,2018-06-13,13, 347.0601379250212, 4511.781793025276
2018-05-16,2018-06-14,13, 348.798620835047, 4534.382070855611
2018-05-17,2018-06-15,16, 277.2778798792084, 4436.446078067334
2018-05-18,2018-06-16,14, 309.3633110395189, 4331.086354553265
2018-05-19,2018-06-17,13, 340.664653802245, 4428.640499429185
2018-05-20,2018-06-18,13, 345.1304308133231, 4486.6956005732
2018-05-21,2018-06-19,13, 339.2630606498053, 4410.419788447469
2018-05-22,2018-06-20,13, 344.6815990562891, 4480.860787731758
2018-05-23,2018-06-21,13, 349.1965133511126, 4539.554673564464
2018-05-24,2018-06-22,24, 214.44387945298914, 5146.6531068717395
2018-05-25,2018-06-23,22, 229.14368020636573, 5041.160964540046
2018-05-26,2018-06-24,21, 228.56074487422939, 4799.775642358817
2018-05-27,2018-06-25,21, 252.97039147422032, 5312.378220958627
2018-05-28,2018-06-26,20, 264.81891781258076, 5296.3783562516155
2018-05-29,2018-06-27,20, 266.4582774870193, 5329.165549740386
2018-05-30,2018-06-28,19, 284.7265602893368, 5409.804645497399
2018-05-31,2018-06-29,20, 270.2642765177451, 5405.285530354901
2018-06-01,2018-06-30,20, 266.203812565121, 5324.07625130242
2018-06-02,2018-07-01,20, 263.63775013044057, 5272.755002608811
2018-06-03,2018-07-02,21, 256.8722583451339, 5394.317425247812
2018-06-04,2018-07-03,22, 248.73484906743536, 5472.166679483578
2018-06-05,2018-07-04,21, 264.20679958912524, 5548.3427913716305
2018-06-06,2018-07-05,22, 242.31223003621787, 5330.869060796793
2018-06-07,2018-07-06,23, 238.34802015611643, 5482.004463590678
2018-06-08,2018-07-07,22, 240.29993592620178, 5286.5985903764395
2018-06-09,2018-07-08,22, 240.8043518007741, 5297.69573961703
2018-06-10,2018-07-09,22, 235.2735965340832, 5176.01912374983
2018-06-11,2018-07-10,22, 234.18385754673437, 5152.044866028156
2018-06-12,2018-07-11,23, 228.56388012533037, 5256.969242882598
2018-06-13,2018-07-12,22, 233.8239087875264, 5144.125993325581
