Day,Firstdate,Nusers,Mean_dr,Sum_dr,Date
0,2018-01-09,4, 16.57640137640138, 66.30560550560551,2018-01-09
1,2018-01-09,4, 18.63670744255744, 74.54682977022976,2018-01-10
2,2018-01-09,12, 16.02192061344208, 192.26304736130496,2018-01-11
3,2018-01-09,14, 15.522701747004584, 217.31782445806417,2018-01-12
4,2018-01-09,15, 20.431295084825198, 306.469426272378,2018-01-13
5,2018-01-09,21, 24.22432461592808, 508.7108169344897,2018-01-14
6,2018-01-09,22, 23.675186786387744, 520.8541093005304,2018-01-15
7,2018-01-09,23, 25.61832409701114, 589.2214542312562,2018-01-16
8,2018-01-09,26, 29.551831023944068, 768.3476066225458,2018-01-17
9,2018-01-09,29, 27.64931276810015, 801.8300702749043,2018-01-18
10,2018-01-09,30, 32.952299922409864, 988.568997672296,2018-01-19
11,2018-01-09,31, 31.962402037402544, 990.8344631594789,2018-01-20
12,2018-01-09,36, 30.400572225960463, 1094.4206001345767,2018-01-21
13,2018-01-09,48, 27.77349277482749, 1333.1276531917194,2018-01-22
14,2018-01-09,51, 29.44471218677837, 1501.6803215256969,2018-01-23
15,2018-01-09,55, 28.64724856647734, 1575.5986711562537,2018-01-24
16,2018-01-09,75, 23.955375200832364, 1796.6531400624274,2018-01-25
17,2018-01-09,81, 23.605884517701057, 1912.0766459337856,2018-01-26
18,2018-01-09,99, 22.42642284356068, 2220.215861512507,2018-01-27
19,2018-01-09,100, 23.899201190697532, 2389.920119069753,2018-01-28
20,2018-01-09,104, 23.71271709980874, 2466.1225783801087,2018-01-29
21,2018-01-09,115, 25.200300752643077, 2898.034586553954,2018-01-30
22,2018-01-09,128, 24.266146587786437, 3106.066763236664,2018-01-31
23,2018-01-09,144, 24.00969328148133, 3457.3958325333115,2018-02-01
24,2018-01-09,154, 25.107339873246264, 3866.5303404799247,2018-02-02
25,2018-01-09,161, 24.77105309735824, 3988.139548674677,2018-02-03
26,2018-01-09,163, 23.941126258399095, 3902.4035801190525,2018-02-04
27,2018-01-09,169, 24.446329551519256, 4131.429694206754,2018-02-05
28,2018-01-09,183, 24.817492051487932, 4541.6010454222915,2018-02-06
29,2018-01-09,185, 24.83715298831603, 4594.873302838466,2018-02-07
30,2018-01-09,189, 25.091143828814637, 4742.226183645967,2018-02-08
31,2018-01-09,191, 24.24991895968051, 4631.734521298978,2018-02-09
32,2018-01-09,186, 26.333117146205844, 4897.959789194287,2018-02-10
33,2018-01-09,191, 26.458902361789427, 5053.650351101781,2018-02-11
34,2018-01-09,192, 27.65371994499955, 5309.514229439914,2018-02-12
35,2018-01-09,212, 26.017703932606384, 5515.753233712553,2018-02-13
36,2018-01-09,218, 26.186631596731672, 5708.685688087505,2018-02-14
37,2018-01-09,231, 26.706028763502957, 6169.092644369183,2018-02-15
38,2018-01-09,230, 26.603239881047717, 6118.7451726409745,2018-02-16
39,2018-01-09,231, 26.664959608215955, 6159.605669497886,2018-02-17
40,2018-01-09,230, 26.77688444823066, 6158.683423093052,2018-02-18
41,2018-01-09,234, 27.33705404498396, 6396.870646526247,2018-02-19
42,2018-01-09,241, 26.55186065773806, 6398.998418514872,2018-02-20
43,2018-01-09,246, 26.720929274648316, 6573.348601563486,2018-02-21
44,2018-01-09,241, 27.280978907277664, 6574.715916653917,2018-02-22
45,2018-01-09,240, 27.11868191062052, 6508.483658548925,2018-02-23
46,2018-01-09,244, 27.477107848485513, 6704.414315030465,2018-02-24
47,2018-01-09,246, 27.629861371459747, 6796.945897379098,2018-02-25
48,2018-01-09,249, 27.420737331574585, 6827.763595562072,2018-02-26
49,2018-01-09,256, 26.6411035114812, 6820.122498939188,2018-02-27
50,2018-01-09,261, 25.65829350437413, 6696.814604641648,2018-02-28
