Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2018-01-09,2018-02-07,178, 8.577251787977708, 1526.7508182600322
2018-01-10,2018-02-08,181, 8.153410543589393, 1475.76730838968
2018-01-11,2018-02-09,183, 8.08253828031139, 1479.1045052969844
2018-01-12,2018-02-10,177, 8.233313018090803, 1457.296404202072
2018-01-13,2018-02-11,181, 7.937363628201307, 1436.6628167044366
2018-01-14,2018-02-12,181, 7.569672501077429, 1370.1107226950146
2018-01-15,2018-02-13,199, 7.50588569348703, 1493.671253003919
2018-01-16,2018-02-14,204, 7.536240053536586, 1537.3929709214635
2018-01-17,2018-02-15,215, 8.039513440696098, 1728.4953897496612
2018-01-18,2018-02-16,212, 7.982530489355766, 1692.2964637434225
2018-01-19,2018-02-17,216, 8.607865993176725, 1859.2990545261725
2018-01-20,2018-02-18,214, 8.668971403478867, 1855.1598803444774
2018-01-21,2018-02-19,216, 7.46201992687789, 1611.7963042056242
2018-01-22,2018-02-20,224, 7.320609994794149, 1639.8166388338896
2018-01-23,2018-02-21,227, 7.433617267024359, 1687.4311196145295
2018-01-24,2018-02-22,221, 7.468017972266815, 1650.4319718709662
2018-01-25,2018-02-23,219, 7.333204028045931, 1605.9716821420589
2018-01-26,2018-02-24,220, 7.420743624807981, 1632.5635974577558
2018-01-27,2018-02-25,223, 7.397081017868175, 1649.549066984603
2018-01-28,2018-02-26,226, 7.188997610272885, 1624.713459921672
2018-01-29,2018-02-27,230, 7.212269759667355, 1658.8220447234917
2018-01-30,2018-02-28,234, 7.065563545357986, 1653.3418696137687
2018-01-31,2018-03-01,229, 7.159722599996977, 1639.5764753993078
2018-02-01,2018-03-02,225, 7.311026833942124, 1644.981037636978
2018-02-02,2018-03-03,219, 7.369060585735078, 1613.8242682759821
2018-02-03,2018-03-04,218, 8.070126527671059, 1759.287583032291
2018-02-04,2018-03-05,211, 8.484624407514598, 1790.2557499855802
2018-02-05,2018-03-06,224, 8.862150417860091, 1985.1216936006606
2018-02-06,2018-03-07,224, 9.196291618722281, 2059.969322593791
2018-02-07,2018-03-08,208, 7.9682877167437045, 1657.4038450826906
2018-02-08,2018-03-09,226, 9.973867118696623, 2254.0939688254366
2018-02-09,2018-03-10,237, 10.047235002617535, 2381.194695620356
2018-02-10,2018-03-11,239, 9.54812718726944, 2282.002397757396
2018-02-11,2018-03-12,245, 9.529389869577413, 2334.700518046466
2018-02-12,2018-03-13,257, 9.37945220257107, 2410.519216060765
2018-02-13,2018-03-14,273, 8.6441360293403, 2359.849136009902
2018-02-14,2018-03-15,289, 9.277296477286525, 2681.138681935806
2018-02-15,2018-03-16,288, 9.434093250574222, 2717.018856165376
2018-02-16,2018-03-17,293, 9.22984142197144, 2704.3435366376316
2018-02-17,2018-03-18,300, 9.011373061988763, 2703.411918596629
2018-02-18,2018-03-19,308, 8.536964444249682, 2629.385048828902
2018-02-19,2018-03-20,311, 8.429637574368748, 2621.6172856286803
2018-02-20,2018-03-21,310, 8.32948473375363, 2582.140267463625
2018-02-21,2018-03-22,305, 8.317220810936222, 2536.7523473355477
2018-02-22,2018-03-23,305, 8.3010324547242, 2531.8148986908814
2018-02-23,2018-03-24,315, 7.868001672359906, 2478.4205267933703
2018-02-24,2018-03-25,310, 7.800017640340265, 2418.005468505482
2018-02-25,2018-03-26,306, 7.724209440488169, 2363.6080887893795
2018-02-26,2018-03-27,309, 7.616753947990022, 2353.5769699289167
2018-02-27,2018-03-28,320, 8.968946380390488, 2870.0628417249563
2018-02-28,2018-03-29,326, 9.135196130680006, 2978.073938601682
2018-03-01,2018-03-30,329, 9.382512306604179, 3086.8465488727747
2018-03-02,2018-03-31,318, 9.337189709349932, 2969.2263275732785
2018-03-03,2018-04-01,326, 9.137706091763425, 2978.892185914877
2018-03-04,2018-04-02,320, 9.105582873634473, 2913.7865195630316
2018-03-05,2018-04-03,318, 9.615022696798468, 3057.577217581913
2018-03-06,2018-04-04,324, 9.505118702751002, 3079.6584596913244
2018-03-07,2018-04-05,321, 9.67127156713773, 3104.4781730512113
2018-03-08,2018-04-06,330, 9.658891172743832, 3187.434087005465
2018-03-09,2018-04-07,337, 10.087835293765998, 3399.6004939991417
2018-03-10,2018-04-08,341, 9.579810775069324, 3266.7154742986395
2018-03-11,2018-04-09,339, 9.648374843174992, 3270.799071836322
2018-03-12,2018-04-10,348, 10.088134736729844, 3510.6708883819856
2018-03-13,2018-04-11,352, 10.0521936439871, 3538.372162683459
2018-03-14,2018-04-12,357, 9.67458161637666, 3453.8256370464674
2018-03-15,2018-04-13,351, 10.175830541576456, 3571.7165200933364
2018-03-16,2018-04-14,352, 10.240029528607003, 3604.490394069665
2018-03-17,2018-04-15,356, 10.485759857520703, 3732.93050927737
2018-03-18,2018-04-16,361, 9.58557584990279, 3460.392881814907
