day,clustering,Nnodes,L/N,Firstday,First_Time
0,0.14335457513984695,342,1.5146198830409356,2018-01-09,2018-01-09
1,0.14775474193610552,346,1.546242774566474,2018-01-09,2018-01-10
2,0.1503109952389308,350,1.5857142857142856,2018-01-09,2018-01-11
3,0.15139586354455384,359,1.5988857938718664,2018-01-09,2018-01-12
4,0.15106879459420613,370,1.5972972972972972,2018-01-09,2018-01-13
5,0.1435445897724235,395,1.6075949367088607,2018-01-09,2018-01-14
6,0.13334751135449296,432,1.625,2018-01-09,2018-01-15
7,0.13603759078313107,447,1.6599552572706935,2018-01-09,2018-01-16
8,0.1364709352902368,484,1.6611570247933884,2018-01-09,2018-01-17
9,0.13619392256692908,500,1.682,2018-01-09,2018-01-18
10,0.1362829213323916,518,1.6891891891891893,2018-01-09,2018-01-19
11,0.13965259440834613,519,1.7148362235067438,2018-01-09,2018-01-20
12,0.13667909855979615,540,1.7222222222222223,2018-01-09,2018-01-21
13,0.12636972326689955,568,1.727112676056338,2018-01-09,2018-01-22
14,0.12938266617440633,573,1.7417102966841187,2018-01-09,2018-01-23
15,0.12785281861281644,568,1.755281690140845,2018-01-09,2018-01-24
16,0.1309167803472068,562,1.7615658362989324,2018-01-09,2018-01-25
17,0.1300736131075081,548,1.782846715328467,2018-01-09,2018-01-26
18,0.1320753415716622,552,1.8025362318840579,2018-01-09,2018-01-27
19,0.1263972904638233,547,1.789762340036563,2018-01-09,2018-01-28
20,0.12494288076353335,558,1.7885304659498207,2018-01-09,2018-01-29
21,0.12125919235226272,568,1.783450704225352,2018-01-09,2018-01-30
22,0.11438023571110634,567,1.7707231040564373,2018-01-09,2018-01-31
23,0.11503168422384213,560,1.769642857142857,2018-01-09,2018-02-01
24,0.11587394535723648,542,1.7952029520295203,2018-01-09,2018-02-02
25,0.11823366323279205,531,1.8135593220338984,2018-01-09,2018-02-03
26,0.11543199820170023,525,1.8342857142857143,2018-01-09,2018-02-04
27,0.12552866097737403,535,1.861682242990654,2018-01-09,2018-02-05
28,0.13717468159234372,524,1.9103053435114503,2018-01-09,2018-02-06
29,0.1510241612214222,492,1.9634146341463414,2018-01-09,2018-02-07
30,0.15743689958907478,502,1.9601593625498008,2018-01-09,2018-02-08
31,0.15636093300371234,518,1.9691119691119692,2018-01-09,2018-02-09
32,0.15851235820475476,525,1.9828571428571429,2018-01-09,2018-02-10
33,0.15699501804067928,532,1.9924812030075187,2018-01-09,2018-02-11
34,0.1659056153136092,538,2.0185873605947955,2018-01-09,2018-02-12
35,0.16950421061838658,552,2.023550724637681,2018-01-09,2018-02-13
36,0.18317680468978637,543,2.03683241252302,2018-01-09,2018-02-14
37,0.19124985766359637,538,2.050185873605948,2018-01-09,2018-02-15
38,0.18872886225406385,525,2.072380952380952,2018-01-09,2018-02-16
39,0.18801535977475684,518,2.1042471042471043,2018-01-09,2018-02-17
40,0.19476518848563654,508,2.15748031496063,2018-01-09,2018-02-18
41,0.20147706127845277,514,2.1828793774319064,2018-01-09,2018-02-19
42,0.21365047898557304,499,2.2304609218436875,2018-01-09,2018-02-20
43,0.22795051441449382,479,2.258872651356994,2018-01-09,2018-02-21
44,0.23165359361132407,468,2.284188034188034,2018-01-09,2018-02-22
45,0.22278065041933037,490,2.2510204081632654,2018-01-09,2018-02-23
46,0.2233425516376088,495,2.2565656565656567,2018-01-09,2018-02-24
47,0.2295084942748101,491,2.25050916496945,2018-01-09,2018-02-25
48,0.22660221728040783,491,2.2281059063136457,2018-01-09,2018-02-26
49,0.22370546345424308,501,2.2435129740518964,2018-01-09,2018-02-27
50,0.2328197291430194,506,2.2292490118577075,2018-01-09,2018-02-28
51,0.23546667287089232,515,2.2194174757281555,2018-01-09,2018-03-01
52,0.23413381672341907,514,2.227626459143969,2018-01-09,2018-03-02
53,0.2386036561396386,518,2.247104247104247,2018-01-09,2018-03-03
54,0.24458273019092713,520,2.251923076923077,2018-01-09,2018-03-04
55,0.24552593764591843,528,2.253787878787879,2018-01-09,2018-03-05
56,0.24204795207243163,540,2.2648148148148146,2018-01-09,2018-03-06
57,0.23993537549400154,534,2.2734082397003745,2018-01-09,2018-03-07
58,0.2425992386839016,553,2.274864376130199,2018-01-09,2018-03-08
59,0.23475589389912876,567,2.271604938271605,2018-01-09,2018-03-09
60,0.21854293076137904,576,2.2465277777777777,2018-01-09,2018-03-10
61,0.20733311314890673,588,2.188775510204082,2018-01-09,2018-03-11
62,0.20063138969799882,591,2.1607445008460235,2018-01-09,2018-03-12
63,0.20493254604233038,595,2.1697478991596637,2018-01-09,2018-03-13
64,0.19842804258160585,611,2.144026186579378,2018-01-09,2018-03-14
65,0.1968201550677993,599,2.1318864774624373,2018-01-09,2018-03-15
66,0.19966016706069184,589,2.127334465195246,2018-01-09,2018-03-16
