Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2015-09-08,2015-10-07,1, 1.471571874274659, 1.471571874274659
2015-09-09,2015-10-08,1, 1.4127089993036728, 1.4127089993036728
2015-09-10,2015-10-09,1, 1.3562006393315258, 1.3562006393315258
2015-09-11,2015-10-10,1, 1.3019526137582647, 1.3019526137582647
2015-09-12,2015-10-11,1, 1.249874509207934, 1.249874509207934
2016-11-29,2016-12-28,1, 1.5028949562163196, 1.5028949562163196
2016-11-30,2016-12-29,1, 1.4427791579676668, 1.4427791579676668
2016-12-01,2016-12-30,1, 1.38506799164896, 1.38506799164896
2016-12-02,2016-12-31,1, 1.3296652719830016, 1.3296652719830016
2016-12-03,2017-01-01,1, 1.2764786611036816, 1.2764786611036816
2016-12-04,2017-01-02,1, 1.2254195146595341, 1.2254195146595341
2016-12-05,2017-01-03,1, 1.1764027340731529, 1.1764027340731529
2016-12-06,2017-01-04,1, 1.1293466247102266, 1.1293466247102266
2016-12-07,2017-01-05,1, 1.0841727597218176, 1.0841727597218176
2016-12-08,2017-01-06,1, 1.0408058493329448, 1.0408058493329448
2016-12-09,2017-01-07,0, 0, 0
2016-12-10,2017-01-08,0, 0, 0
2016-12-11,2017-01-09,0, 0, 0
2016-12-12,2017-01-10,0, 0, 0
2016-12-13,2017-01-11,0, 0, 0
2016-12-14,2017-01-12,0, 0, 0
2016-12-15,2017-01-13,0, 0, 0
2016-12-16,2017-01-14,0, 0, 0
2016-12-17,2017-01-15,0, 0, 0
2016-12-18,2017-01-16,0, 0, 0
2016-12-19,2017-01-17,0, 0, 0
2016-12-20,2017-01-18,0, 0, 0
2016-12-21,2017-01-19,0, 0, 0
2016-12-22,2017-01-20,0, 0, 0
2017-02-01,2017-03-02,1, 3.921747271962781, 3.921747271962781
2017-02-02,2017-03-03,1, 3.76487738108427, 3.76487738108427
2017-02-03,2017-03-04,1, 3.6142822858408987, 3.6142822858408987
2017-02-04,2017-03-05,1, 3.4697109944072633, 3.4697109944072633
