Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2015-05-03,2015-06-01,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-04,2015-06-02,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-05,2015-06-03,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-06,2015-06-04,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-07,2015-06-05,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-08,2015-06-06,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-09,2015-06-07,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-10,2015-06-08,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-11,2015-06-09,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-12,2015-06-10,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-13,2015-06-11,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-14,2015-06-12,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-15,2015-06-13,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-16,2015-06-14,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-17,2015-06-15,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-18,2015-06-16,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-19,2015-06-17,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-05-20,2015-06-18,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2015-09-08,2015-10-07,2,1,50.0,1,2,1,0,1,1.0,0.0,0.5
2015-09-09,2015-10-08,2,1,50.0,1,2,1,0,1,1.0,0.0,0.5
2015-09-10,2015-10-09,2,1,50.0,1,2,1,0,1,1.0,0.0,0.5
2015-09-11,2015-10-10,2,1,50.0,1,2,1,0,1,1.0,0.0,0.5
2015-09-12,2015-10-11,2,1,50.0,1,2,1,0,1,1.0,0.0,0.5
2016-11-29,2016-12-28,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2016-11-30,2016-12-29,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2016-12-01,2016-12-30,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2016-12-02,2016-12-31,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
2016-12-03,2017-01-01,2,2,100.0,0,1,1,0,0,0.5,0.0,0.0
