Day,Firstdate,Nusers,Mean_dr,Sum_dr,Date
0,2015-02-28,0, 0, 0,2015-02-28
1,2015-02-28,0, 0, 0,2015-03-01
2,2015-02-28,0, 0, 0,2015-03-02
3,2015-02-28,0, 0, 0,2015-03-03
4,2015-02-28,0, 0, 0,2015-03-04
5,2015-02-28,0, 0, 0,2015-03-05
6,2015-02-28,0, 0, 0,2015-03-06
7,2015-02-28,0, 0, 0,2015-03-07
8,2015-02-28,0, 0, 0,2015-03-08
9,2015-02-28,0, 0, 0,2015-03-09
10,2015-02-28,0, 0, 0,2015-03-10
11,2015-02-28,0, 0, 0,2015-03-11
12,2015-02-28,0, 0, 0,2015-03-12
13,2015-02-28,0, 0, 0,2015-03-13
14,2015-02-28,0, 0, 0,2015-03-14
15,2015-02-28,0, 0, 0,2015-03-15
16,2015-02-28,0, 0, 0,2015-03-16
17,2015-02-28,0, 0, 0,2015-03-17
18,2015-02-28,0, 0, 0,2015-03-18
19,2015-02-28,0, 0, 0,2015-03-19
20,2015-02-28,0, 0, 0,2015-03-20
21,2015-02-28,0, 0, 0,2015-03-21
22,2015-02-28,0, 0, 0,2015-03-22
23,2015-02-28,0, 0, 0,2015-03-23
24,2015-02-28,0, 0, 0,2015-03-24
25,2015-02-28,0, 0, 0,2015-03-25
26,2015-02-28,0, 0, 0,2015-03-26
27,2015-02-28,0, 0, 0,2015-03-27
28,2015-02-28,0, 0, 0,2015-03-28
29,2015-02-28,0, 0, 0,2015-03-29
30,2015-02-28,0, 0, 0,2015-03-30
31,2015-02-28,0, 0, 0,2015-03-31
32,2015-02-28,0, 0, 0,2015-04-01
33,2015-02-28,0, 0, 0,2015-04-02
34,2015-02-28,0, 0, 0,2015-04-03
35,2015-02-28,0, 0, 0,2015-04-04
36,2015-02-28,0, 0, 0,2015-04-05
37,2015-02-28,0, 0, 0,2015-04-06
38,2015-02-28,0, 0, 0,2015-04-07
39,2015-02-28,0, 0, 0,2015-04-08
40,2015-02-28,0, 0, 0,2015-04-09
41,2015-02-28,0, 0, 0,2015-04-10
42,2015-02-28,0, 0, 0,2015-04-11
43,2015-02-28,0, 0, 0,2015-04-12
44,2015-02-28,0, 0, 0,2015-04-13
45,2015-02-28,0, 0, 0,2015-04-14
46,2015-02-28,0, 0, 0,2015-04-15
47,2015-02-28,0, 0, 0,2015-04-16
