day,clustering,Nnodes,L/N,Firstday,First_Time
0,0.0,0.0,0.0,2015-02-28,2015-02-28
1,0.0,0.0,0.0,2015-02-28,2015-03-01
2,0.0,0.0,0.0,2015-02-28,2015-03-02
3,0.0,0.0,0.0,2015-02-28,2015-03-03
4,0.0,0.0,0.0,2015-02-28,2015-03-04
5,0.0,0.0,0.0,2015-02-28,2015-03-05
6,0.0,0.0,0.0,2015-02-28,2015-03-06
7,0.0,0.0,0.0,2015-02-28,2015-03-07
8,0.0,0.0,0.0,2015-02-28,2015-03-08
9,0.0,0.0,0.0,2015-02-28,2015-03-09
10,0.0,0.0,0.0,2015-02-28,2015-03-10
11,0.0,0.0,0.0,2015-02-28,2015-03-11
12,0.0,0.0,0.0,2015-02-28,2015-03-12
13,0.0,0.0,0.0,2015-02-28,2015-03-13
14,0.0,0.0,0.0,2015-02-28,2015-03-14
15,0.0,0.0,0.0,2015-02-28,2015-03-15
16,0.0,0.0,0.0,2015-02-28,2015-03-16
17,0.0,0.0,0.0,2015-02-28,2015-03-17
18,0.0,0.0,0.0,2015-02-28,2015-03-18
19,0.0,0.0,0.0,2015-02-28,2015-03-19
20,0.0,0.0,0.0,2015-02-28,2015-03-20
21,0.0,0.0,0.0,2015-02-28,2015-03-21
22,0.0,0.0,0.0,2015-02-28,2015-03-22
23,0.0,0.0,0.0,2015-02-28,2015-03-23
24,0.0,0.0,0.0,2015-02-28,2015-03-24
25,0.0,0.0,0.0,2015-02-28,2015-03-25
26,0.0,0.0,0.0,2015-02-28,2015-03-26
27,0.0,0.0,0.0,2015-02-28,2015-03-27
28,0.0,0.0,0.0,2015-02-28,2015-03-28
29,0.0,0.0,0.0,2015-02-28,2015-03-29
30,0.0,0.0,0.0,2015-02-28,2015-03-30
31,0.0,0.0,0.0,2015-02-28,2015-03-31
32,0.0,0.0,0.0,2015-02-28,2015-04-01
33,0.0,0.0,0.0,2015-02-28,2015-04-02
34,0.0,0.0,0.0,2015-02-28,2015-04-03
35,0.0,0.0,0.0,2015-02-28,2015-04-04
36,0.0,0.0,0.0,2015-02-28,2015-04-05
37,0.0,0.0,0.0,2015-02-28,2015-04-06
38,0.0,0.0,0.0,2015-02-28,2015-04-07
39,0.0,0.0,0.0,2015-02-28,2015-04-08
40,0.0,0.0,0.0,2015-02-28,2015-04-09
41,0.0,0.0,0.0,2015-02-28,2015-04-10
42,0.0,0.0,0.0,2015-02-28,2015-04-11
43,0.0,0.0,0.0,2015-02-28,2015-04-12
44,0.0,0.0,0.0,2015-02-28,2015-04-13
45,0.0,0.0,0.0,2015-02-28,2015-04-14
46,0.0,0.0,0.0,2015-02-28,2015-04-15
47,0.0,0.0,0.0,2015-02-28,2015-04-16
48,0.0,0.0,0.0,2015-02-28,2015-04-17
49,0.0,0.0,0.0,2015-02-28,2015-04-18
50,0.0,0.0,0.0,2015-02-28,2015-04-19
51,0.0,0.0,0.0,2015-02-28,2015-04-20
52,0.0,2.0,0.5,2015-02-28,2015-04-21
53,0.0,2.0,0.5,2015-02-28,2015-04-22
54,0.0,2.0,0.5,2015-02-28,2015-04-23
55,0.0,2.0,0.5,2015-02-28,2015-04-24
56,0.0,2.0,0.5,2015-02-28,2015-04-25
57,0.0,2.0,0.5,2015-02-28,2015-04-26
58,0.0,2.0,0.5,2015-02-28,2015-04-27
59,0.0,2.0,0.5,2015-02-28,2015-04-28
60,0.0,2.0,0.5,2015-02-28,2015-04-29
61,0.0,2.0,0.5,2015-02-28,2015-04-30
62,0.0,2.0,0.5,2015-02-28,2015-05-01
63,0.0,2.0,0.5,2015-02-28,2015-05-02
64,0.0,2.0,0.5,2015-02-28,2015-05-03
65,0.0,2.0,0.5,2015-02-28,2015-05-04
66,0.0,2.0,0.5,2015-02-28,2015-05-05
67,0.0,2.0,0.5,2015-02-28,2015-05-06
68,0.0,2.0,0.5,2015-02-28,2015-05-07
69,0.0,2.0,0.5,2015-02-28,2015-05-08
70,0.0,2.0,0.5,2015-02-28,2015-05-09
71,0.0,2.0,0.5,2015-02-28,2015-05-10
72,0.0,2.0,0.5,2015-02-28,2015-05-11
73,0.0,2.0,0.5,2015-02-28,2015-05-12
74,0.0,2.0,0.5,2015-02-28,2015-05-13
75,0.0,2.0,0.5,2015-02-28,2015-05-14
76,0.0,2.0,0.5,2015-02-28,2015-05-15
77,0.0,2.0,0.5,2015-02-28,2015-05-16
78,0.0,2.0,0.5,2015-02-28,2015-05-17
79,0.0,2.0,0.5,2015-02-28,2015-05-18
80,0.0,2.0,0.5,2015-02-28,2015-05-19
81,0.0,2.0,0.5,2015-02-28,2015-05-20
82,0.0,0.0,0.0,2015-02-28,2015-05-21
83,0.0,0.0,0.0,2015-02-28,2015-05-22
